address,recon_mse,z_score,is_anomaly_top5pct
0x167a9333bf582556f35bd4d16a7e80e191aa6476,982.40094,73.65601,1
0x0ce15800ebc76a1034d320ad2abcd0e77ba52ece,295.79822,22.151089,1
0x1f69b6147203344049ea381f5dd2008714caedda,280.45114,20.99984,1
0xd28493e737fbcc957f3716143ed6e40f40357b51,275.39606,20.620638,1
0xd4b394c60bb55f80df30dac87b6f92be34739332,254.43987,19.048626,1
0x0000000000000000000000000000000000000000,232.73984,17.420818,1
0x1938a448d105d26c40a52a1bfe99b8ca7a745ad0,205.13069,15.349741,1
0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f,123.233376,9.206282,1
0xfea2c6d96f0bd4cd4d638bcefa7968146c74df37,110.31002,8.236848,1
0x1d5a1eaf90218e91f2bb32e42b0b02ff39827d16,78.65859,5.8625426,1
0xf204a7552bb25302a70f8695c7d5edbc8e32cb85,69.90567,5.2059493,1
0xc32b1345acae345c595d3bbcf62e14e5f3020456,56.820564,4.2243814,1
0x32f042b0b01f10247493a950456f4c4304d46ba5,51.442577,3.8209562,1
0x99a7f147a106fc8d0f650175e095a31c198fd94f,46.00965,3.41341,1
0xb5f756611eddfbd63f4e8d28f2a62a401431c35a,22.487448,1.6489116,1
0xf80a39a8bb160b82ace500e951e4ae61b0eb616e,17.128777,1.2469354,1
0x8ac3da133b4112db01e838ae5038e433c6197336,14.665289,1.0621389,1
0xf37b1a35647e4efc1afec5bb870e0bcbf1ac2ffc,8.279943,0.5831476,1
0x9a9eb7e103230d3baf2bd2ddc7eae69dbb3f77b8,7.6139836,0.5331912,1
0x80c3c8582cc88172bcad6c28489ac5603a0cc0fe,7.0544753,0.49122015,1
0x95cbeafa4b2d5fe18eb284e1b767d68d450bf56e,5.615951,0.38331047,1
0xfa9b57cbe5b7bd63b436dcf205c15222b510ff27,5.2624826,0.35679534,1
0xffef32ac831b0cf1ea4bbe8513cb51eb55846a70,4.0437155,0.26537058,1
0xcfc387b2d9bb52200d942752f44a41d658ee82de,3.9917424,0.26147184,1
0xad1f0d73b4fb00f3b0e570bc28da92a3831d9030,3.6448216,0.23544788,1
0x19095a519eccd68213b6aa7a80577337d291006e,3.4279852,0.21918207,1
0xd5007b98da278ef9994160e570f94778880126e1,3.4183478,0.21845914,1
0xf66a9122aeee6ec0beb6634ea3fc1dd03664f099,3.0373662,0.18988012,1
0xdc469e27d671ceff9d7464337a34ba18fda17f9a,2.7474666,0.16813354,1
0x382ffce2287252f930e1c8dc9328dac5bf282ba1,2.71456,0.16566509,1
0xedfdf676443273cb95138caf2ffd4d5b13e72032,2.5993214,0.15702055,1
0xa533574c3199db25bb91184ecc37e254fa08bee3,2.4166658,0.1433188,1
0x11784e0732270b41dd7aba1baa266f076b78f085,2.316796,0.13582717,1
0x9763d6413141e23a32d1459fe7cfde6a4cddcb36,2.0222898,0.11373502,1
0x429cf888dae41d589d57f6dc685707bec755fe63,1.9599942,0.109061964,1
0x12e5de5a9acac024e08c60a1b063c3f17565a523,1.9313377,0.10691232,1
0x0f3aa53329b8550dd2b447e7431f19e8cdba5a1a,1.8439919,0.10036015,1
0x88f27da912b34ac3755736dc66bdde4d855a2bf6,1.8087322,0.09771517,1
0x292da97af25d0dec98d02ab8c3dbd4ca124ee234,1.7773055,0.09535772,1
0x24937fe4cdc7aa4f407706d7025962c6031238bf,1.7724847,0.094996095,1
0xada2c19e3c1919f511b99c013e97bfdf20a4a168,1.7709501,0.09488098,1
0x82dee4acb5a49616fdb0e747ea60c579f4f0eef4,1.6783708,0.08793622,1
0xfbeaeff109637f38de8f475b8235296714537b0c,1.6482425,0.08567618,1
0xe445fd900149019dc58ae0c60e89c35b49c95776,1.6411682,0.0851455,1
0x882babe2ba81efba1311be89e0dd1c0f0703fa02,1.6399376,0.0850532,1
0xa2fde9de6e6ebfe068d3ec0b515669817a9c3808,1.6051791,0.082445815,1
0x7df4f3635e65b88fc6adc0594f6d6968a2ff2703,1.5695057,0.079769805,1
0x922168749496de39b038516a103154c3e42af0ae,1.5691935,0.07974637,1
0x4f120a2c1f8d179d224f70e98c5d374eb61e7a7e,1.5164902,0.075792894,1
0xda02a2d6f230d36b57ecf61e84faf7463d007954,1.5117662,0.07543853,1
0xe66b31678d6c16e9ebf358268a790b763c133750,1.4841032,0.07336341,1
0x50e0ac7621922c7dc5f3a880d8e0d3a5c77a8b7c,1.4629879,0.07177946,1
0x342e309f51ea74daef7b2efcf6be88ffeed5ee28,1.4578387,0.07139319,1
0xff54d9f001d0afca3173e1acd0813255436a5627,1.3639538,0.0643505,1
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,1.3323518,0.0619799,1
0x64f1c5a6089be7863fd915b98991ec018dc65e6a,1.3030071,0.059778634,1
0x7e628e98b2e2b70d0a69c1de43ae15a43ec38202,1.2997432,0.059533793,1
0xeb278acc450e21ae49237969bceae1ca72e1aae5,1.2632043,0.056792863,1
0xc2e1252c346804e28b62e5223fedde21618c69f2,1.2430016,0.05527737,1
0xbefaeb0aca8793f16eb26cf154caf056d792bf6b,1.2064937,0.052538764,1
0x8d52c8430399b2d7d8699131b3630cb4fdbbd227,1.1995182,0.052015502,1
0xe3246809b7d08f1c7199057e7c4cc4a5f6771568,1.084729,0.043404683,1
0xf34c809e4a11cf2618a5967e350e3d6843f3f141,1.0640143,0.04185079,1
0x5952473955fe79b90d8b15d6ca7df96adf473711,1.0457585,0.040481348,1
0xf56192be2f026ececda06e29b8cadae9000e7f3d,0.9882927,0.036170598,1
0xb7779700916bc125ad891b95ed13acbd9b1a6bac,0.9848653,0.035913497,1
0xd3d93f4385d3df5042f7e0030f8ee42c0392003c,0.9652365,0.034441058,1
0x6212a43416a4adebdca3fabb34d0eb72400cee7c,0.9649022,0.034415983,1
0x076ae8e2f396396a0790c97ea6dc6e4cf438ad41,0.9640318,0.03435069,1
0x69eeb24acddbcfd0b32fd7d143fcc3bfc65620ad,0.9266687,0.031547926,1
0xb251e457863c4fd8ca6e91aaef29027621ec23bf,0.9226607,0.031247271,1
0x94f796fa5cf1a2b0e7e4fed2c940dd63c8b6c57c,0.9215763,0.031165926,1
0x4d65fc05f9978fdaab0ed44f3bdad9844774c0c6,0.9186331,0.030945143,1
0x2901e96c5b47d46247610a51716e66cf0138b915,0.91183627,0.030435285,1
0xac1ad68ffa7bf0dfe40d3de0000cb7af1f9ff80d,0.9116219,0.030419206,1
0x1611c227725c5e420ef058275ae772b41775e261,0.89327735,0.029043103,1
0xf18d26ec5ecf471647201c97f02fcdfb3a8b58aa,0.8908706,0.02886256,1
0xaf0ae50cd011e741cdb90f624b5ff0f06fd6ef58,0.86351293,0.02681035,1
0x82ed92f58635f21490602ab9948750cad42ed940,0.8265469,0.024037374,1
0x1858342850297041f892def608078334207231a9,0.81511885,0.023180109,1
0x1c4832e53e7f2d4fdbd50c0eeb7e5dfd8c0599e0,0.8077597,0.022628069,1
0x9e49f77cd96fd712d350a8b6c7132f0380d89de8,0.8061212,0.022505155,1
0xeaea4a9d0d944737c3729d9d54094c42c6b1341f,0.8026215,0.02224263,1
0xc6292dd3a3e58bc5be6256104d26f4fab3b994b6,0.79199886,0.021445783,1
0x899ec07e7415c3afa6ea3543bab2f35c82d61060,0.78332865,0.020795394,1
0xb85cdd7a35045f181e4486278d86ca702f86fb91,0.7816919,0.020672616,1
0x575fe2332122b3f4494015cb5de9f111bde221c9,0.77029467,0.01981766,1
0x7016f7d79f7eb2a8082868620fd0b58077d75dbd,0.76416916,0.01935816,1
0x85289fe116bbe78e2c4d7e76a7cc2e584dfe6455,0.76357865,0.019313864,1
0xdb4a3b094fa9b2e3a4d1f26a85d273e389aba012,0.75663054,0.018792657,1
0x317823136c2af6a047d93f47517d98d2f1f73d4f,0.7550794,0.0186763,1
0xc3e796e4cbb31794855a450b51e9c3b536ef967d,0.7356519,0.017218962,1
0xff5b5424c6a07f273edb4e2cbe11642ced32682e,0.73499846,0.017169945,1
0x33269f7100783265cb9abd6fefebd1c265377adc,0.7310398,0.01687299,1
0x4c000f641304118922cbe01a7f1998ec557c625e,0.719251,0.015988661,1
0x04b73625ba7bc11f4d859bd1a8fb19083252d173,0.703348,0.014795711,1
0x92e14f6373aa4b017df51fe63fbbe81aae409f7f,0.6983281,0.014419148,1
0x3626efb26783006c97431a3a77ddc4113572a619,0.68953365,0.013759441,1
0x370b453caa04583317a4543947c5568b48b31567,0.68948674,0.013755922,1
0x00a03da6744f65368383b34f48e908b16c8a63a9,0.68917125,0.013732256,1
0xe8e11f0c3f11104b3af8e9d12d8ac494c012e6db,0.6854718,0.013454743,1
0xf27da5569ea978561a83846bbdfdff7ee5d383fc,0.6838014,0.013329442,1
0xb786b48ef35ac105600ac59f803a7258766bf841,0.68077755,0.01310261,1
0x7e43aeb7fc9a53996a888eb46285e8f03d2c0222,0.67630696,0.0127672525,1
0xbe83332aededa2cb031b20ac2dd8b57cf8d50500,0.6689831,0.012217859,1
0x00000000a991c429ee2ec6df19d40fe0c80088b8,0.65367275,0.011069366,1
0xfd8c9167bfe6826966cf4037a5ba5e1097e44dea,0.62666124,0.00904312,1
0xb940d1f4c4fa78d6faf31d9e02bcac44a0aede28,0.6261642,0.009005835,1
0x0c5c6332192824525fb78ce0340b418dd5d8a882,0.62600684,0.008994031,1
0xab70aaac1e7b6c902a755e25c90e22a1f428d900,0.62293404,0.0087635275,1
0x11b50a3994f4a0a2507a3984d8324e3acb23042f,0.6180997,0.008400883,1
0x883a604aa7bb3eff02df59a49ed6ee56063ebd99,0.61167055,0.0079186065,1
0x0056e321d2a63d2516db41f3a9bb193c4910ab9d,0.60210377,0.0072009624,1
0x8d21e858a12e370e2cac50934e56b1c52dcd64b4,0.6001297,0.0070528807,1
0x6d9edd4a36212381ebdeabc4b37dc8067b3f27b5,0.5865799,0.0060364534,1
0xdead90ca153d5751592368f52d267c8a2a8fc939,0.5850778,0.005923775,1
0x54ff2f287fdfdebabe91f5633c0db32b72f1aabe,0.5760063,0.005243282,1
0x315d2ee4fccda0def532ef4108ff57204f8d9eba,0.57273895,0.0049981847,1
0xd6991ee7974622e6bcbe62f106c5179b0115c43b,0.56724495,0.004586057,1
0x69b93df1bd376eea8cb45c918c33369df080f4b1,0.56291384,0.004261162,1
0x591dd13e2d0811d97f6665dd84e3760cb98e0adf,0.561494,0.004154654,1
0xe387e363bcbdecbc88586ecf380d6fee02931e46,0.55954933,0.004008777,1
0x62d63efdfdc7804666725f4cc8cb45c1a41a0809,0.5594878,0.0040041627,1
0x5a98d33a65959c29cc48776dfe5bdf1db259e303,0.55780685,0.003878066,1
0x641bcb62dabb3952966ef08efc34f1f4238a1473,0.5560654,0.0037474313,1
0x9fc909f0c91729d8c5440607e23483122d608257,0.5504214,0.0033240542,1
0x7dfd745c09976cdc3023404f98625b766ef2b119,0.5502755,0.0033131086,1
0x5042e452cab4a5c1c7cc80abbea78cbde0d43c71,0.5496093,0.003263134,1
0x6097d9f0e3939a1680793e597c3039055ad7aa6f,0.5466669,0.0030424136,1
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,0.5308003,0.0018521913,1
0x793016f92558187c6bfce37dbd116a94f4917147,0.52718157,0.0015807364,1
0x758ff079006b5928bc8f385b27817956d8a4afd9,0.5260703,0.0014973754,1
0xc265aac2cc3366c6a82ff55ab35a7c82e55b48f3,0.52416027,0.0013540961,1
0xbbd17c37a45a1c2761ba0a086979132c19a70ca3,0.5234016,0.0012971867,1
0x1ccbce5509ed94387ed6f71d00514b9293bcf232,0.5200509,0.0010458342,1
0xbf6f667a05868f3720e6572db6d73fabc4bb603b,0.51413083,0.00060174643,1
0x64790f673ded2414f8b45313f5c52a95bff8e4f4,0.5136599,0.00056641956,1
0x3931043f092d856fe534a6296d3c748eb387f3a5,0.51175356,0.00042341743,1
0xf4177d27f27461f8f3a8a1415651e24ea105eff6,0.5105823,0.0003355585,1
0xb48e6e88784f960faf5aba8425e24f12e15efe98,0.509776,0.0002750722,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0.50852484,0.00018121742,1
0x171fbaf682e57b86afe9ca8be62445c93fc5b124,0.508178,0.00015519955,1
0xf27d2a05a40ff4d7eb169d3bbf6943dbb3085fc7,0.50621265,7.770932e-06,1
0xf710c1460dbb524d01b3e5f3b58a48a348d9be43,0.50392663,-0.0001637127,1
