address,recon_mse,z_score,is_anomaly_top5pct
0x1938a448d105d26c40a52a1bfe99b8ca7a745ad0,1.074462,16.639975,1
0x9a9eb7e103230d3baf2bd2ddc7eae69dbb3f77b8,0.9797354,15.07976,1
0x167a9333bf582556f35bd4d16a7e80e191aa6476,0.9734211,14.9757595,1
0xf37b1a35647e4efc1afec5bb870e0bcbf1ac2ffc,0.91135347,13.953463,1
0xf204a7552bb25302a70f8695c7d5edbc8e32cb85,0.89723873,13.720983,1
0xb5f756611eddfbd63f4e8d28f2a62a401431c35a,0.8717866,13.301768,1
0x11784e0732270b41dd7aba1baa266f076b78f085,0.84424996,12.848221,1
0xaf0ae50cd011e741cdb90f624b5ff0f06fd6ef58,0.83977866,12.774575,1
0x1d5a1eaf90218e91f2bb32e42b0b02ff39827d16,0.8291229,12.599068,1
0x19095a519eccd68213b6aa7a80577337d291006e,0.7842876,11.860599,1
0x5952473955fe79b90d8b15d6ca7df96adf473711,0.7430413,11.181244,1
0xedfdf676443273cb95138caf2ffd4d5b13e72032,0.7395079,11.123047,1
0x82ed92f58635f21490602ab9948750cad42ed940,0.7264993,10.908786,1
0x0ce15800ebc76a1034d320ad2abcd0e77ba52ece,0.700367,10.478368,1
0x4c000f641304118922cbe01a7f1998ec557c625e,0.6776527,10.104249,1
0xb251e457863c4fd8ca6e91aaef29027621ec23bf,0.66122013,9.833592,1
0xcfc387b2d9bb52200d942752f44a41d658ee82de,0.65071535,9.660571,1
0x7016f7d79f7eb2a8082868620fd0b58077d75dbd,0.6455949,9.576234,1
0xbe83332aededa2cb031b20ac2dd8b57cf8d50500,0.626031,9.254003,1
0x88f27da912b34ac3755736dc66bdde4d855a2bf6,0.6083903,8.963449,1
0xad1f0d73b4fb00f3b0e570bc28da92a3831d9030,0.60068566,8.836548,1
0xa533574c3199db25bb91184ecc37e254fa08bee3,0.59582865,8.75655,1
0xada2c19e3c1919f511b99c013e97bfdf20a4a168,0.59377694,8.722756,1
0xb85cdd7a35045f181e4486278d86ca702f86fb91,0.5918438,8.690916,1
0x69b93df1bd376eea8cb45c918c33369df080f4b1,0.58647263,8.602449,1
0xeb278acc450e21ae49237969bceae1ca72e1aae5,0.5858029,8.591418,1
0x0056e321d2a63d2516db41f3a9bb193c4910ab9d,0.57923967,8.483317,1
0xffef32ac831b0cf1ea4bbe8513cb51eb55846a70,0.57186973,8.36193,1
0x12e5de5a9acac024e08c60a1b063c3f17565a523,0.5486758,7.9799094,1
0xac1ad68ffa7bf0dfe40d3de0000cb7af1f9ff80d,0.5414258,7.8604975,1
0x591dd13e2d0811d97f6665dd84e3760cb98e0adf,0.5386025,7.813995,1
0xdb4a3b094fa9b2e3a4d1f26a85d273e389aba012,0.5205967,7.5174274,1
0xcd5baeeab4dd86067a3164ca7108d46fed91e34f,0.5183196,7.4799223,1
0x793016f92558187c6bfce37dbd116a94f4917147,0.5087889,7.3229446,1
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,0.4947691,7.092029,1
0x0c5c6332192824525fb78ce0340b418dd5d8a882,0.48339236,6.9046464,1
0xbefaeb0aca8793f16eb26cf154caf056d792bf6b,0.48116663,6.8679867,1
0xf550d879517d8ce6f65e1b54dec3ffd3c20ca87c,0.46439177,6.5916934,1
0x5f0c5aa1577dd2d4ff736654a5f32b1da958e9f1,0.45717248,6.4727864,1
0xc178956eb42a9bf469a0dc43c03d5a10f246c477,0.45544034,6.4442573,1
0x2550329ea172a7130785f412c7993ef0e6dc5828,0.45378366,6.4169703,1
0xe3246809b7d08f1c7199057e7c4cc4a5f6771568,0.44542474,6.279293,1
0xaae0922cf92c1eda7870edb4270daff66dbfe89b,0.44347402,6.2471633,1
0xca1d120af591485c9a6380106c9a40376b1f768f,0.4312624,6.0460296,1
0x758ff079006b5928bc8f385b27817956d8a4afd9,0.42783123,5.989516,1
0xf6f9ce2b2776c65478b495b6efd445aca6385538,0.42538536,5.9492307,1
0xc3e796e4cbb31794855a450b51e9c3b536ef967d,0.4249354,5.9418197,1
0x33269f7100783265cb9abd6fefebd1c265377adc,0.41992837,5.85935,1
0xc1b2cc8f63a3994b8bcfcca95e053bd5f69a24ab,0.4104756,5.7036567,1
0xff5b5424c6a07f273edb4e2cbe11642ced32682e,0.4086207,5.673105,1
0xe0069ff4d89f28a5edb5b93a470308bc37fb635e,0.40618542,5.632994,1
0xf4177d27f27461f8f3a8a1415651e24ea105eff6,0.40544534,5.620805,1
0xff54d9f001d0afca3173e1acd0813255436a5627,0.39920282,5.5179863,1
0xbbd17c37a45a1c2761ba0a086979132c19a70ca3,0.39177838,5.3957005,1
0x3ac7b770c5a19f2c329119a055014e64261e69dd,0.3895425,5.358874,1
0x1d270fc4b0ace112b4ad59bbc08481f49cae0fa2,0.38561368,5.294163,1
0xc77bb2de408f74f9a4ed2330c743ad8ea31b92d1,0.3659862,4.9708853,1
0x1611c227725c5e420ef058275ae772b41775e261,0.359384,4.8621426,1
0xc6292dd3a3e58bc5be6256104d26f4fab3b994b6,0.35430232,4.7784433,1
0x64f1c5a6089be7863fd915b98991ec018dc65e6a,0.35036102,4.7135277,1
0x6d9edd4a36212381ebdeabc4b37dc8067b3f27b5,0.34783897,4.6719875,1
0xe445fd900149019dc58ae0c60e89c35b49c95776,0.34557664,4.6347256,1
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,0.34044695,4.550236,1
0xe45d781e1523eb449f2f443efe14fb5737d9dced,0.3375038,4.50176,1
0x5a98d33a65959c29cc48776dfe5bdf1db259e303,0.3297053,4.3733134,1
0x95cbeafa4b2d5fe18eb284e1b767d68d450bf56e,0.32934815,4.367431,1
0xd555dcbac9e7334e5d9b9e4068d8fb4aed902458,0.32907122,4.3628697,1
0x497ecd2dbbdc37fb90f612a5dc890a52e0f92ef1,0.32879576,4.358333,1
0x4d5c07de70bec6e6f3112f30708e0f360e81c747,0.32827914,4.349824,1
0x99a7f147a106fc8d0f650175e095a31c198fd94f,0.32664126,4.322847,1
0xdfe03b24ee2febe5f1839f0cec295871853dec70,0.32535893,4.301726,1
0xaf521cb86ad29ed97fce63e8043df80646c953fc,0.3203105,4.218575,1
0x1c4832e53e7f2d4fdbd50c0eeb7e5dfd8c0599e0,0.31956336,4.206269,1
0x41767bd9144e3421b5b07a4fbec1a95d717ec2e4,0.3178124,4.1774297,1
0xb378e739217258918b465546ad591aa1734ea0c2,0.31612942,4.149709,1
0xc7970da89bcef1901263df8957117f8e52b34be5,0.30749637,4.0075173,1
0x62f1563fc3e871dc60f8846d1110c3a0e84d71bb,0.3068983,3.9976664,1
0x46396656c0762bc4e5f1534671cfc9eedb909689,0.30403823,3.9505591,1
0xf27da5569ea978561a83846bbdfdff7ee5d383fc,0.30370215,3.9450235,1
0x88bb85c5dde82f1d7fec4bc261ba6567f0fd1a21,0.30364525,3.9440866,1
0x8d90838d6c7eae9a56157ad6d387725c46ea48f1,0.3029941,3.9333615,1
0x71ddf610a87c9be1a521900b68444134437f8d7b,0.3021239,3.919029,1
0x8b34001ccc8ad93fb5339f6a5e7d693512500101,0.30164286,3.9111059,1
0x9e941e40fcd6da247a4c662a014877bbf0c8bcd6,0.3004286,3.8911061,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,0.29999894,3.8840292,1
0x6212a43416a4adebdca3fabb34d0eb72400cee7c,0.29610586,3.8199074,1
0x394d6aa0bff6df0d6cc976d5e3d21de466f67de4,0.29216307,3.754967,1
0xb11fec193796bec90e6f648c9770740c589bd1ff,0.29180315,3.749039,1
0xb2c61e781fb11eaedcf7c94f31d499cc590716f8,0.2910437,3.7365303,1
0x004d2eeb424717059c7636a0a2e249249a3db1ca,0.2902484,3.7234309,1
0x64176c6cd0dd38f719a15895427e036aad4462df,0.2855048,3.6453004,1
0x4dab79695301cdcb3a6f960ec7a7e3e30c051d6c,0.27768368,3.5164814,1
0xc265aac2cc3366c6a82ff55ab35a7c82e55b48f3,0.27311614,3.4412508,1
0xd5007b98da278ef9994160e570f94778880126e1,0.26930454,3.3784711,1
0x4b8725619ef9c8ab83d8b6f6f31a83320af2b197,0.26906073,3.3744555,1
0x00a03da6744f65368383b34f48e908b16c8a63a9,0.267775,3.3532786,1
0xb9b68c121fb5daf750eef78597a0b76597aaa365,0.26759186,3.3502622,1
0xe8e11f0c3f11104b3af8e9d12d8ac494c012e6db,0.26593727,3.32301,1
0xf80a39a8bb160b82ace500e951e4ae61b0eb616e,0.2636179,3.2848084,1
0xe4be0e6bb9a370cb703cf87e70a5c7c462173bd8,0.2585411,3.20119,1
0xe5b04fed74cbe811d21006aa23df33e281f7fab8,0.25843403,3.1994262,1
0x002acfc3672d74e197bda678c912a7c827624025,0.25793597,3.191223,1
0x53af137b4daea7e389a6bd4ed94b1f8bd7562d50,0.25717422,3.1786764,1
0x6e1c1f832bcd0c46d26c8f53efadb58bf8b1f7eb,0.25638232,3.1656332,1
0xd20ab55de955d81004ce0c50bcadc97807297b12,0.2531896,3.113047,1
0x2c62f232dfa0ed525ee489d0ef3fc0e43516e8ce,0.25275722,3.1059253,1
0x9c5b144d7ad18ca881efae1d525a2e7ba28e74cd,0.25070354,3.0721,1
0xb326376e73d92c7b9d022160ad27a4908b54f789,0.25066662,3.0714917,1
0x96a2d177182da752a4cb1a9499416441774ffe38,0.24938866,3.050443,1
0xe8b81f7a5ac81996495907434b26d325f9c936c7,0.24802566,3.0279932,1
0x5af7cad51c52af5e12eabd10d5f5032e7eacc639,0.24436904,2.967766,1
0x0248208ce62e51f53b136be50f4a364f3f33cb9e,0.24403507,2.9622653,1
0xf66a9122aeee6ec0beb6634ea3fc1dd03664f099,0.24195638,2.928028,1
0xe2d9c9958babd33b79cd37a010752400362bdc41,0.23724325,2.8503993,1
0x178d53cb5df3670f5d874a5a4717a747ad9398e3,0.23722002,2.8500168,1
0x5ca8b539ffe5b4c5fb5e8e0fb82826f439030b41,0.23175873,2.7600653,1
0xcf65ec5c7f774b94628fe5d8bcc7b2aeb4ae6144,0.23158737,2.757243,1
0xe726843dfb11e18a3a2f5c79c9b0e8929b9fbd4c,0.23152943,2.7562885,1
0x2f2e1715517adf53558d1538543e4a183fdfcf09,0.23131235,2.7527132,1
0x8006c98b9770526c727672442f7175f3ef0887a0,0.22839424,2.7046502,1
0xa82b99ada0a18066bd3febb263800b72ebfe7993,0.22709297,2.683217,1
0xd080e43371528a8698d9452509ad7893372caecb,0.22639117,2.671658,1
0x7d62cb5685536ede2808bbe7451175b8947ec026,0.22615367,2.6677463,1
0x4946c206f8175ed5ae54f44a4420c4b09872658f,0.22458348,2.641884,1
0x3863551563806e00fd441c1601e0efe528b2a183,0.22418164,2.6352654,1
0x144de28ad9e786f04e70d94d644ede2fa2fef46f,0.22391513,2.630876,1
0x607f7fa5c12ac3b686c32740ebeda40f9191b128,0.2213257,2.5882263,1
0xfb5c4836e9cc38bbd259f787737026493027996e,0.22095703,2.5821538,1
0xcba3bf54fafb95fd1edcf55a6f7d835ed0937d10,0.22036278,2.5723665,1
0x489749528509d722a61743a21ee1985aea25d46b,0.22033712,2.5719438,1
0xf34c809e4a11cf2618a5967e350e3d6843f3f141,0.2190285,2.55039,1
0x4041874981beac322320ad8c08b757e8d7284060,0.21898231,2.549629,1
0x256a84d14b7984e2fa956e73a31c1a215bfa58de,0.21844926,2.5408494,1
0xb940d1f4c4fa78d6faf31d9e02bcac44a0aede28,0.21730597,2.5220184,1
0x86d77c800e9473bed29ba2910f1341e1aefe900b,0.21499708,2.4839897,1
0xf21b948080d2e576a5406115183d8df53f4ce8e0,0.21463968,2.4781027,1
0x81f67dd424e126c00c4212ceac95747e57539e19,0.21330135,2.4560595,1
0x3ca7b707c7ade3fa04a60746533e4433fba9327e,0.21314248,2.453443,1
0x478d679ee9090978e2961af13381493c888ea2e3,0.21230215,2.4396021,1
0x488074226e4a0e03b714d32b9399d9d51302c0c0,0.21201237,2.434829,1
0x375d08600b1b5dbec252a21ec4eceeedac13a0ff,0.21198213,2.4343312,1
0xe36696c764a6699d9923d1a5b34a16dc8a095908,0.2102324,2.405512,1
0xe9e0881e55c80de789b3cb5f0b61b509011a86c6,0.2091111,2.3870432,1
