address,recon_mse,z_score,is_anomaly_top5pct
0x9a9eb7e103230d3baf2bd2ddc7eae69dbb3f77b8,0.8545728,15.220608,1
0x167a9333bf582556f35bd4d16a7e80e191aa6476,0.795962,14.100424,1
0xf37b1a35647e4efc1afec5bb870e0bcbf1ac2ffc,0.78026545,13.800428,1
0x1938a448d105d26c40a52a1bfe99b8ca7a745ad0,0.76847786,13.575141,1
0xf204a7552bb25302a70f8695c7d5edbc8e32cb85,0.76140136,13.439894,1
0xb5f756611eddfbd63f4e8d28f2a62a401431c35a,0.73800164,12.992673,1
0x1d5a1eaf90218e91f2bb32e42b0b02ff39827d16,0.72704077,12.783186,1
0xaf0ae50cd011e741cdb90f624b5ff0f06fd6ef58,0.71924835,12.634255,1
0x11784e0732270b41dd7aba1baa266f076b78f085,0.6988451,12.244304,1
0x19095a519eccd68213b6aa7a80577337d291006e,0.67744833,11.835363,1
0x0ce15800ebc76a1034d320ad2abcd0e77ba52ece,0.624944,10.831888,1
0x82ed92f58635f21490602ab9948750cad42ed940,0.5936497,10.233785,1
0xedfdf676443273cb95138caf2ffd4d5b13e72032,0.5890921,10.146678,1
0x5952473955fe79b90d8b15d6ca7df96adf473711,0.58833927,10.132291,1
0x4c000f641304118922cbe01a7f1998ec557c625e,0.58130723,9.997892,1
0xb251e457863c4fd8ca6e91aaef29027621ec23bf,0.57105285,9.8019085,1
0x88f27da912b34ac3755736dc66bdde4d855a2bf6,0.52326846,8.888642,1
0xbe83332aededa2cb031b20ac2dd8b57cf8d50500,0.51535296,8.737359,1
0xcfc387b2d9bb52200d942752f44a41d658ee82de,0.5107397,8.649189,1
0x7016f7d79f7eb2a8082868620fd0b58077d75dbd,0.50571275,8.553113,1
0xeb278acc450e21ae49237969bceae1ca72e1aae5,0.5026873,8.49529,1
0x0056e321d2a63d2516db41f3a9bb193c4910ab9d,0.50092477,8.461604,1
0xada2c19e3c1919f511b99c013e97bfdf20a4a168,0.49722064,8.39081,1
0x69b93df1bd376eea8cb45c918c33369df080f4b1,0.48568004,8.170243,1
0xb85cdd7a35045f181e4486278d86ca702f86fb91,0.48108545,8.08243,1
0xcd5baeeab4dd86067a3164ca7108d46fed91e34f,0.47770187,8.017762,1
0xffef32ac831b0cf1ea4bbe8513cb51eb55846a70,0.47763494,8.016483,1
0xad1f0d73b4fb00f3b0e570bc28da92a3831d9030,0.4708766,7.8873167,1
0xac1ad68ffa7bf0dfe40d3de0000cb7af1f9ff80d,0.4658504,7.791255,1
0x591dd13e2d0811d97f6665dd84e3760cb98e0adf,0.46571267,7.788622,1
0xdb4a3b094fa9b2e3a4d1f26a85d273e389aba012,0.45886862,7.6578174,1
0x12e5de5a9acac024e08c60a1b063c3f17565a523,0.4477604,7.445514,1
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,0.44690967,7.429255,1
0xa533574c3199db25bb91184ecc37e254fa08bee3,0.44480455,7.3890214,1
0x793016f92558187c6bfce37dbd116a94f4917147,0.44174644,7.330574,1
0xc178956eb42a9bf469a0dc43c03d5a10f246c477,0.42526308,7.01554,1
0x0c5c6332192824525fb78ce0340b418dd5d8a882,0.41606903,6.8398213,1
0xf550d879517d8ce6f65e1b54dec3ffd3c20ca87c,0.4103858,6.7312016,1
0xca1d120af591485c9a6380106c9a40376b1f768f,0.40601218,6.6476126,1
0xbefaeb0aca8793f16eb26cf154caf056d792bf6b,0.40259713,6.582343,1
0x5f0c5aa1577dd2d4ff736654a5f32b1da958e9f1,0.39513278,6.439683,1
0xf6f9ce2b2776c65478b495b6efd445aca6385538,0.38543713,6.2543774,1
0xe3246809b7d08f1c7199057e7c4cc4a5f6771568,0.3762045,6.077921,1
